uuid,w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,seed,A,B,C,D,E,Ltx_uH,Lrx1_uH,Lrx2_uH,M1,M2,k1,k2,Lmt_uH,Lmr1_uH,Lmr2_uH,Llt_uH,Llr1_uH,Llr2_uH,Copperloss_Tx,Copperloss_Rx_1,Copperloss_Rx_2,Coreloss_W,B_mean_leg_left,B_mean_leg_center,B_mean_leg_right,B_mean_leg_top_left,B_mean_leg_bottom_left,B_mean_leg_top_right,B_mean_leg_bottom_right
332882ab-b777-4062-b229-524a8711f82b,17.6,1.0,1.0,17.6,9.2,38.8,0.0,0.5,14.0,28.0,0.105,0.09,2.0,12.0,0.07,0.06,0.1,0.15,0.7,2.2,3.4,4.4,15.0,24.0,1.0,2.5,4.6,0.6,0.39,2.7,623686535,38.0,36.0,17.6,20.4,19.4,124.896014017846,5.12722485723479,5.12820005463877,24.5624276741521,24.5623687144286,0.970634710054697,0.970540086238748,117.668499051031,4.83052127797887,4.83049808761179,7.22751496681533,0.296703579255916,0.297701967026977,7.22856384246821,4.41053088392841,0.815302398168746,30.3133,0.291180422084867,0.0698213827051536,0.435178014322819,0.553021406569225,0.553185403976892,0.566758218360494,0.566984422373942
814a595b-1ded-48ec-affb-64cc4836b018,27.2,8.2,5.8,12.8,14.0,50.8,0.0,0.51,14.0,35.0,0.07,0.07,2.0,30.0,0.14,0.06,0.1,0.5,1.5,0.3,3.8,2.3,25.0,17.0,4.5,3.2,2.0,0.4,0.15,1.2,163262960,57.2,40.8,12.8,31.2,25.4,485.892218606466,19.6840343033133,19.6963246409956,96.4389382387171,96.4359086747818,0.986110065220115,0.985771386784656,472.487939479236,19.1410120443681,19.1398094593958,13.4042791272303,0.5430222589452199,0.5565151815997901,26.2047397062719,5.07987899250557,0.534126327970607,1.66189,0.0352707576748191,0.0593258641341855,0.0486364046187858,0.0665801804576918,0.0659355149217033,0.0671860504738919,0.0684740424682999
ee6599d3-8d9e-4ca1-9b70-9151c67021af,22.4,2.2,7.0,17.6,6.8,4.0,0.0,0.51,14.0,12.0,0.175,0.05,2.0,28.0,0.14,0.1,0.1,0.44,0.6,0.8,4.2,5.0,7.0,28.0,2.7,3.3,2.6,2.9,0.34,2.3,128619738,35.6,31.200000000000003,17.6,9.0,2.0,273.340546525776,11.0088393689362,11.013519764439,53.7784816424079,53.7770858352406,0.980360353407706,0.980126580688836,262.70935480479,10.5806662221262,10.5801169921131,10.6311917209857,0.42817314680996205,0.433402772325932,4.94058548259149,4.29796274665045,1.52524773858025,0.0009374310000000001,0.155517493015875,0.0524514582166072,0.186693491311977,0.0647206826704455,0.0645886432988284,0.0660387861402595,0.0660463112856891
f08c7417-1f5a-41b4-a768-49b9da078ef3,22.4,11.8,2.2,22.4,20.0,20.8,0.0,0.51,14.0,27.0,0.14,0.08,2.0,8.0,0.07,0.01,0.1,0.22,1.1,3.3,4.1,3.8,12.0,26.0,3.8,1.6,3.9,0.2,0.92,2.6,215641757,86.0,62.4,22.4,12.600000000000001,10.4,537.622620062766,21.6498891398933,21.6542133724362,106.763646641085,106.763241069511,0.989593409409172,0.989490837303749,526.491206049595,21.2016306954713,21.2014696151285,11.1314140131706,0.44825844442197005,0.452743757307675,4.31378740000525,4.96779636731888,0.626684980722671,5.41728,0.0286383510210844,0.0409695996520494,0.0422441355614793,0.211881708795253,0.211974642975068,0.213005176956238,0.213216920037206
b38fef7d-43ab-4792-8c3a-5782b3029bd6,9.2,13.0,11.8,20.0,18.8,37.6,0.0,0.5,14.0,19.0,0.175,0.1,2.0,25.0,0.105,0.08,0.1,0.41,1.0,0.4,4.9,4.3,6.0,20.0,2.8,2.2,3.2,0.9,0.33,2.0,790803210,83.6,57.6,20.0,30.6,18.8,278.651585486369,11.370679116308,11.3753946717246,55.1121456052865,55.1110383558868,0.979091675309525,0.978869051273652,267.121124617974,10.9001661982895,10.8997282156595,11.5304608683953,0.47051291801848705,0.47566645606511904,4.14368370195456,3.69167717461277,0.510905138502451,4.15552,0.0595019384521868,0.110788729598053,0.0875763886295809,0.0953495841963587,0.0951455769124354,0.0954498367454639,0.0957972567201836
389d90c2-c31e-4ffa-a015-9ab3781ab2e0,24.8,4.6,3.4,4.4,3.2,41.2,0.0,0.5,14.0,23.0,0.175,0.1,2.0,6.0,0.14,0.02,0.1,0.24,0.4,2.9,1.8,4.6,1.0,28.0,0.9,4.2,0.9,3.8,0.22,1.1,4252852824,20.0,10.8,4.4,24.0,20.6,203.384290969152,8.29697936377872,8.30370603422986,40.2046711834954,40.2049305852321,0.978718520665814,0.978328332111926,194.819766821358,7.94759308730561,7.94769564385138,8.56452414779448,0.349386276473109,0.35601039037847604,7.6741560495519,4.71998604591747,0.403171424118391,5.67019,0.0671022981750539,0.180635253237423,0.0866022458455334,0.124728391482775,0.105795030734847,0.12419744793408,0.108749430007168
a0202258-b843-4ab3-9c3d-66d87d73dc60,12.8,5.8,2.2,22.4,18.8,42.4,0.0,0.51,14.0,15.0,0.14,0.09,2.0,18.0,0.14,0.08,0.1,0.37,1.2,1.3,4.0,4.9,5.0,1.0,3.3,4.3,2.2,4.5,0.75,2.9,1878156002,71.6,60.0,22.4,23.4,21.2,249.127815667339,10.1315545950503,10.134702599076,49.5132522966393,49.5141706708556,0.985535560903551,0.985400764223647,241.972949954625,9.84057981010131,9.84094486059444,7.15486571271398,0.290974784948988,0.293757738481565,3.06028139840281,2.11539499461111,0.265991856611895,12.5304,0.0928551980011437,0.0684094683204251,0.124652395516764,0.344365690552678,0.344036454978905,0.337538662272212,0.337669532548784
1b86b75a-b14a-46ed-8b00-24a22e75067a,10.4,9.4,10.6,9.2,20.0,32.8,0.0,0.51,14.0,34.0,0.175,0.03,2.0,32.0,0.14,0.08,0.1,0.29,1.0,3.6,3.5,4.4,16.0,10.0,2.5,3.5,4.4,1.1,0.42,3.3,4183201840,68.0,49.2,9.2,27.0,16.4,178.364195815342,7.18115219426974,7.18334252621084,35.0736438965993,35.0740586384492,0.980008816299021,0.979870980366849,171.304055798605,6.89690265785755,6.89706576900092,7.06014001673714,0.28424953641218703,0.286276757209916,4.29237299098502,1.76977061877978,0.488758165841619,7.21797,0.0722710328776179,0.207502419882492,0.111676554620856,0.0980592464482802,0.0973495764457533,0.0931579923513854,0.0921298205233673
86a336f7-cd26-48c0-8b86-31551092912d,6.8,8.2,4.6,2.0,3.2,34.0,0.0,0.51,14.0,21.0,0.14,0.04,2.0,18.0,0.14,0.05,0.1,0.13,0.4,2.2,1.1,3.1,2.0,12.0,3.1,1.4,4.4,3.6,0.29,1.0,3463733535,24.799999999999997,8.4,2.0,21.6,17.0,37.8479094789935,1.58305569349686,1.58575390706667,7.19722802592181,7.19761380804392,0.929814291731465,0.929072696817588,32.7215848879527,1.36863810895195,1.36878483495893,5.12632459104079,0.214417584544907,0.21696907210774402,3.13608907148372,4.77233737017433,0.122084893698522,153.391,0.142028530299907,1.40524756966032,0.196823071986005,0.366761493984525,0.322992320596382,0.383119026171881,0.366817709651857
8f51cf69-e44d-4b1b-9d27-642a8f2deb5d,14.0,4.6,3.4,5.6,16.4,52.0,0.0,0.51,14.0,27.0,0.07,0.04,2.0,30.0,0.105,0.03,0.1,0.31,0.9,2.0,4.2,2.4,27.0,5.0,4.9,2.9,0.5,3.7,0.52,2.0,79225040,47.6,38.4,5.6,29.4,26.0,132.023150868502,5.40069039783091,5.40471529140009,26.003011410399,26.0035445266368,0.973809392651132,0.973466684701762,125.198178862633,5.12150026689492,5.12171027202856,6.82497200586866,0.279190130935995,0.28300501937153305,16.2777596508432,15.3164434322427,0.644215807165787,16.9941,0.10597523738621,0.255753002615909,0.162902725382588,0.218537224120578,0.21828716876033,0.215864657689633,0.213985851032841
4545cba9-a121-4d1b-b83d-52732ee09717,15.2,3.4,10.6,4.4,11.6,6.4,0.0,0.51,14.0,21.0,0.14,0.1,2.0,16.0,0.07,0.05,0.1,0.29,0.8,0.8,4.6,3.7,14.0,5.0,1.8,0.4,1.3,2.4,0.25,2.6,3020595454,34.4,27.6,4.4,13.8,3.2,129.87192174245,5.37525719308902,5.37788607737284,25.8196798372343,25.8196645660191,0.977222808160891,0.976983352097007,124.023064004157,5.13317935049374,5.13317327839185,5.84885773829323,0.242077842595278,0.244712798980987,5.16165943369408,3.89140288784892,0.721740524993801,3.77056,0.13581026614159,0.303512623252615,0.209956932936087,0.0687320029273806,0.0680649843115797,0.0675148936591199,0.0672277546938109
470f9c57-e489-4be5-b94a-870c625cec11,50.0,5.8,7.0,21.2,22.4,49.6,0.0,0.51,14.0,31.0,0.175,0.1,2.0,26.0,0.14,0.03,0.1,0.39,2.7,2.6,4.7,4.8,20.0,9.0,4.4,1.7,1.0,2.5,1.09,3.0,1326118937,77.6,66.0,21.2,31.8,24.8,986.355840627316,39.8836036511142,39.8946842156259,196.549433387186,196.551643667296,0.990963800146472,0.990837315029648,968.610562444616,39.1660678363848,39.1669487187764,17.7452781827001,0.71753581472935,0.72773549684947,6.60743110157665,7.45877299836099,,0.00046984800000000003,0.0278105801388823,0.018207390672308,0.0326745210356216,0.0279694853835025,0.027987765581692,0.0277704483611975,0.0277492660601498
